Symbol,Date,Open,High,Low,Close,Volume
TSLA,20250103,$381.48,$411.8799,$379.45,$410.44,95423330
TSLA,20250102,$390.10,$392.7299,$373.04,$379.28,109710700
TSLA,20241231,$423.79,$427.93,$402.54,$403.84,76825120
TSLA,20241230,$419.40,$427.00,$415.75,$417.41,64941010
TSLA,20241227,$449.52,$450.00,$426.50,$431.66,82666820
TSLA,20241226,$465.16,$465.3299,$451.02,$454.13,76651210
TSLA,20241224,$435.90,$462.78,$435.14,$462.28,59551750
TSLA,20241223,$431.00,$434.51,$415.4112,$430.60,72698060
TSLA,20241220,$425.505,$447.08,$417.64,$421.06,132216200
TSLA,20241219,$451.88,$456.36,$420.02,$436.17,118566100
TSLA,20241218,$466.495,$488.5399,$427.01,$440.13,149340800
TSLA,20241217,$475.90,$483.99,$457.5101,$479.86,131223000
TSLA,20241216,$441.09,$463.19,$436.15,$463.02,114083800
TSLA,20241213,$420.00,$436.30,$415.71,$436.23,89000160
TSLA,20241212,$424.84,$429.30,$415.00,$418.10,87752230
TSLA,20241211,$409.70,$424.88,$402.38,$424.77,104287600
TSLA,20241210,$392.68,$409.73,$390.85,$400.99,97563580
TSLA,20241209,$397.61,$404.80,$378.01,$389.79,96359170
TSLA,20241206,$377.42,$389.49,$370.80,$389.22,81455830
TSLA,20241205,$359.87,$375.43,$359.50,$369.49,81403570
TSLA,20241204,$353.00,$358.10,$348.60,$357.93,50810870
TSLA,20241203,$351.80,$355.69,$348.20,$351.42,58267200
TSLA,20241202,$352.38,$360.00,$351.1501,$357.09,77986480
TSLA,20241129,$336.08,$345.45,$334.6501,$345.16,37167620
TSLA,20241127,$341.80,$342.55,$326.59,$332.89,57896440
TSLA,20241126,$341.00,$346.96,$335.66,$338.23,62295860
TSLA,20241125,$360.14,$361.93,$338.20,$338.59,95890900
TSLA,20241122,$341.085,$361.53,$337.70,$352.56,89140720
TSLA,20241121,$343.81,$347.9899,$335.28,$339.64,58011720
TSLA,20241120,$345.00,$346.5999,$334.30,$342.03,66340650
TSLA,20241119,$335.76,$347.3799,$332.75,$346.00,88852450
TSLA,20241118,$340.73,$348.5499,$330.01,$338.74,126547500
TSLA,20241115,$310.57,$324.6799,$309.22,$320.72,114440300
TSLA,20241114,$327.69,$329.98,$310.37,$311.18,120726100
TSLA,20241113,$335.85,$344.5999,$322.50,$330.24,125405600
TSLA,20241112,$342.74,$345.84,$323.31,$328.49,155726000
TSLA,20241111,$346.30,$358.64,$336.00,$350.00,210521600
TSLA,20241108,$299.14,$328.71,$297.66,$321.22,204782800
TSLA,20241107,$288.89,$299.75,$285.52,$296.91,117309200
TSLA,20241106,$284.67,$289.59,$275.62,$288.53,165228700
TSLA,20241105,$247.34,$255.2799,$246.2101,$251.44,69282510
TSLA,20241104,$244.56,$248.90,$238.88,$242.84,68802350
TSLA,20241101,$252.043,$254.00,$246.63,$248.98,57544760
TSLA,20241031,$257.99,$259.75,$249.25,$249.85,66575290
TSLA,20241030,$258.035,$263.35,$255.8201,$257.55,53993580
TSLA,20241029,$264.51,$264.98,$255.51,$259.52,80521750
TSLA,20241028,$270.00,$273.536,$262.24,$262.51,107653600
TSLA,20241025,$256.01,$269.49,$255.32,$269.19,161611900
TSLA,20241024,$244.68,$262.1199,$242.65,$260.48,204491900
TSLA,20241023,$217.125,$218.72,$212.11,$213.65,80938890
TSLA,20241022,$217.31,$218.22,$215.26,$217.97,43268740
TSLA,20241021,$218.90,$220.48,$215.726,$218.85,47328990
TSLA,20241018,$220.71,$222.28,$219.23,$220.70,49611870
TSLA,20241017,$221.59,$222.08,$217.90,$220.89,50791780
TSLA,20241016,$221.40,$222.8199,$218.93,$221.33,49632820
TSLA,20241015,$220.01,$224.26,$217.12,$219.57,62988790
TSLA,20241014,$220.13,$221.91,$213.74,$219.16,86291920
TSLA,20241011,$220.13,$223.34,$214.38,$217.80,142628900
TSLA,20241010,$241.81,$242.7899,$232.34,$238.77,83087060
TSLA,20241009,$243.82,$247.43,$239.51,$241.05,66289530
TSLA,20241008,$243.56,$246.21,$240.56,$244.50,56303160
TSLA,20241007,$249.00,$249.83,$240.70,$240.83,68113270
TSLA,20241004,$246.69,$250.96,$244.58,$250.08,86726290
TSLA,20241003,$244.48,$249.79,$237.81,$240.66,80729240
